contig	start	end	name	giemsa
4	0	49042	neg	gneg
4	49042	69508	101F1	gpos100
4	69508	108296	102A1	gpos100
4	108296	110283	102A2	gpos100
4	110283	134526	102A3	gpos100
4	134526	173313	102A4	gpos100
4	173313	175300	102A5	gpos100
4	175300	195648	102A6	gpos100
4	195648	208365	102A7	gpos100
4	208365	224898	102A8	gpos100
4	224898	275131	102B1	gpos100
4	275131	277118	102B2	gpos100
4	277118	319721	102B3	gpos100
4	319721	321708	102B4	gpos100
4	321708	361291	102B5	gpos100
4	361291	385533	102B6	gpos100
4	385533	413591	102B7	gpos100
4	413591	441648	102B8	gpos100
4	441648	495776	102C1	gpos100
4	495776	497763	102C2	gpos100
4	497763	510481	102C3	gpos100
4	510481	542353	102C4	gpos100
4	542353	574226	102C5	gpos100
4	574226	598468	102C6	gpos100
4	598468	648702	102D1	gpos100
4	648702	650689	102D2	gpos100
4	650689	663406	102D3	gpos100
4	663406	706804	102D4	gpos100
4	706804	734861	102D5	gpos100
4	734861	766734	102D6	gpos100
4	766734	816967	102E1	gpos100
4	816967	818955	102E2	gpos100
4	818955	850032	102E3	gpos100
4	850032	852019	102E4	gpos100
4	852019	886913	102E5	gpos100
4	886913	888900	102E6	gpos100
4	888900	897802	102E7	gpos100
4	897802	940405	102F1	gpos100
4	940405	942392	102F2	gpos100
4	942392	958924	102F3	gpos100
4	958924	990797	102F4	gpos100
4	990797	1022670	102F5	gpos100
4	1022670	1043017	102F6	gpos100
4	1043017	1063365	102F7	gpos100
4	1063365	1348131	neg.1	gneg
M	0	19524	neg.2	gneg
X	0	103614	neg.3	gneg
X	103614	310130	1A1	gpos100
X	310130	324179	1A2	gpos100
X	324179	338228	1A3	gpos100
X	338228	349643	1A4	gpos100
X	349643	366380	1A5	gpos100
X	366380	380429	1A6	gpos100
X	380429	391844	1A7	gpos100
X	391844	408582	1A8	gpos100
X	408582	427954	1B1	gpos100
X	427954	447326	1B2	gpos100
X	447326	466698	1B3	gpos100
X	466698	486070	1B4	gpos100
X	486070	497485	1B5	gpos100
X	497485	500942	1B6	gpos100
X	500942	519765	1B7	gpos100
X	519765	529779	1B8	gpos100
X	529779	564266	1B9	gpos100
X	564266	598753	1B10	gpos100
X	598753	614384	1B11	gpos100
X	614384	634705	1B12	gpos100
X	634705	655027	1B13	gpos100
X	655027	660483	1B14	gpos100
X	660483	678152	1C1	gpos100
X	678152	693419	1C2	gpos100
X	693419	753951	1C3	gpos100
X	753951	792523	1C4	gpos100
X	792523	831096	1C5	gpos100
X	831096	869668	1D1	gpos100
X	869668	946794	1D2	gpos100
X	946794	962725	1D3	gpos100
X	962725	991047	1D4	gpos100
X	991047	1077783	1E1	gpos100
X	1077783	1084105	1E2	gpos100
X	1084105	1185507	1E3	gpos100
X	1185507	1231139	1E4	gpos100
X	1231139	1254809	1E5	gpos100
X	1254809	1289517	1F1	gpos100
X	1289517	1320864	1F2	gpos100
X	1320864	1342241	1F3	gpos100
X	1342241	1368552	1F4	gpos100
X	1368552	1399899	2A1	gpos100
X	1399899	1431951	2A2	gpos100
X	1431951	1453809	2A3	gpos100
X	1453809	1475668	2A4	gpos100
X	1475668	1522853	2B1	gpos100
X	1522853	1570037	2B2	gpos100
X	1570037	1617222	2B3	gpos100
X	1617222	1660981	2B4	gpos100
X	1660981	1671897	2B5	gpos100
X	1671897	1682812	2B6	gpos100
X	1682812	1721893	2B7	gpos100
X	1721893	1760974	2B8	gpos100
