chrom	chromStart	chromEnd	name	gieStain
chr4	0	49042		gneg
chr4	49042	69508	101F1	gpos100
chr4	69508	108296	102A1	gpos100
chr4	108296	110283	102A2	gpos100
chr4	110283	134526	102A3	gpos100
chr4	134526	173313	102A4	gpos100
chr4	173313	175300	102A5	gpos100
chr4	175300	195648	102A6	gpos100
chr4	195648	208365	102A7	gpos100
chr4	208365	224898	102A8	gpos100
chr4	224898	275131	102B1	gpos100
chr4	275131	277118	102B2	gpos100
chr4	277118	319721	102B3	gpos100
chr4	319721	321708	102B4	gpos100
chr4	321708	361291	102B5	gpos100
chr4	361291	385533	102B6	gpos100
chr4	385533	413591	102B7	gpos100
chr4	413591	441648	102B8	gpos100
chr4	441648	495776	102C1	gpos100
chr4	495776	497763	102C2	gpos100
chr4	497763	510481	102C3	gpos100
chr4	510481	542353	102C4	gpos100
chr4	542353	574226	102C5	gpos100
chr4	574226	598468	102C6	gpos100
chr4	598468	648702	102D1	gpos100
chr4	648702	650689	102D2	gpos100
chr4	650689	663406	102D3	gpos100
chr4	663406	706804	102D4	gpos100
chr4	706804	734861	102D5	gpos100
chr4	734861	766734	102D6	gpos100
chr4	766734	816967	102E1	gpos100
chr4	816967	818955	102E2	gpos100
chr4	818955	850032	102E3	gpos100
chr4	850032	852019	102E4	gpos100
chr4	852019	886913	102E5	gpos100
chr4	886913	888900	102E6	gpos100
chr4	888900	897802	102E7	gpos100
chr4	897802	940405	102F1	gpos100
chr4	940405	942392	102F2	gpos100
chr4	942392	958924	102F3	gpos100
chr4	958924	990797	102F4	gpos100
chr4	990797	1022670	102F5	gpos100
chr4	1022670	1043017	102F6	gpos100
chr4	1043017	1063365	102F7	gpos100
chr4	1063365	1348131		gneg
chrM	0	19524		
chrX	0	103614		
chrX	103614	310130		
chrX	310130	324179		
chrX	324179	338228		
chrX	338228	349643		
chrX	349643	366380		
chrX	366380	380429		
chrX	380429	391844		
chrX	391844	408582		
chrX	408582	427954		
chrX	427954	447326		
chrX	447326	466698		
chrX	466698	486070		
chrX	486070	497485		
chrX	497485	500942		
chrX	500942	519765		
chrX	519765	529779		
chrX	529779	564266		
chrX	564266	598753		
chrX	598753	614384		
chrX	614384	634705		
chrX	634705	655027		
chrX	655027	660483		
chrX	660483	678152		
chrX	678152	693419		
chrX	693419	753951		
chrX	753951	792523		
chrX	792523	831096		
chrX	831096	869668		
chrX	869668	946794		
chrX	946794	962725		
chrX	962725	991047		
chrX	991047	1077783		
chrX	1077783	1084105		
chrX	1084105	1185507		
chrX	1185507	1231139		
chrX	1231139	1254809		
chrX	1254809	1289517		
chrX	1289517	1320864		
chrX	1320864	1342241		
chrX	1342241	1368552		
chrX	1368552	1399899		
chrX	1399899	1431951		
chrX	1431951	1453809		
chrX	1453809	1475668		
chrX	1475668	1522853		
chrX	1522853	1570037		
chrX	1570037	1617222		
chrX	1617222	1660981		
chrX	1660981	1671897		
chrX	1671897	1682812		
chrX	1682812	1721893		
chrX	1721893	1760974		
chrX	1760974	1800056		
chrX	1800056	1834459		
chrX	1834459	1850052		
chrX	1850052	1860968		
chrX	1860968	1876561		
chrX	1876561	1901190		
chrX	1901190	1918430		
chrX	1918430	1943059		
chrX	1943059	1967688		
chrX	1967688	1972106		
chrX	1972106	2010027		
chrX	2010027	2019121		
chrX	2019121	2021662		
chrX	2021662	2028579		
chrX	2028579	2035496		
chrX	2035496	2038036		
chrX	2038036	2046042		
chrX	2046042	2065484		
chrX	2065484	2071652		
chrX	2071652	2083108		
chrX	2083108	2105193		
chrX	2105193	2127279		
chrX	2127279	2138734		
chrX	2138734	2150190		
chrX	2150190	2161646		
chrX	2161646	2173102		
chrX	2173102	2195187		
chrX	2195187	2217272		
chrX	2217272	2223441		
chrX	2223441	2245526		
chrX	2245526	2266061		
chrX	2266061	2271796		
chrX	2271796	2292331		
chrX	2292331	2321100		
chrX	2321100	2328357		
chrX	2328357	2354342		
chrX	2354342	2426642		
chrX	2426642	2490288		
chrX	2490288	2555320		
chrX	2555320	2566926		
chrX	2566926	2606302		
chrX	2606302	2621158		
chrX	2621158	2644928		
chrX	2644928	2658571		
chrX	2658571	2666234		
chrX	2666234	2687099		
chrX	2687099	2710953		
chrX	2710953	2734254		
chrX	2734254	2753185		
chrX	2753185	2777305		
chrX	2777305	2804155		
chrX	2804155	2845022		
chrX	2845022	2907914		
chrX	2907914	2970807		
chrX	2970807	2976541		
chrX	2976541	3039434		
chrX	3039434	3102327		
chrX	3102327	3143194		
chrX	3143194	3153388		
chrX	3153388	3176688		
chrX	3176688	3255074		
chrX	3255074	3289368		
chrX	3289368	3312265		
chrX	3312265	3354787		
chrX	3354787	3407122		
chrX	3407122	3459456		
chrX	3459456	3511791		
chrX	3511791	3554314		
chrX	3554314	3596836		
chrX	3596836	3614212		
chrX	3614212	3666547		
chrX	3666547	3675489		
chrX	3675489	3677060		
chrX	3677060	3691605		
chrX	3691605	3712384		
chrX	3712384	3733163		
chrX	3733163	3751936		
chrX	3751936	3765077		
chrX	3765077	3795114		
chrX	3795114	3834115		
chrX	3834115	3865803		
chrX	3865803	3899492		
chrX	3899492	3902182		
chrX	3902182	3914234		
chrX	3914234	3940705		
chrX	3940705	3943395		
chrX	3943395	3955446		
chrX	3955446	4003760		
chrX	4003760	4052074		
chrX	4052074	4069291		
chrX	4069291	4086507		
chrX	4086507	4112978		
chrX	4112978	4115668		
chrX	4115668	4148487		
chrX	4148487	4186471		
chrX	4186471	4234785		
chrX	4234785	4288372		
chrX	4288372	4300423		
chrX	4300423	4333243		
chrX	4333243	4366062		
chrX	4366062	4398881		
chrX	4398881	4447195		
chrX	4447195	4500781		
chrX	4500781	4517998		
chrX	4517998	4530050		
chrX	4530050	4562869		
chrX	4562869	4595688		
chrX	4595688	4612904		
chrX	4612904	4645724		
chrX	4645724	4668105		
chrX	4668105	4685322		
chrX	4685322	4697373		
chrX	4697373	4709425		
chrX	4709425	4736971		
chrX	4736971	4749023		
chrX	4749023	4802610		
chrX	4802610	4861361		
chrX	4861361	4878578		
chrX	4878578	4895794		
chrX	4895794	4918176		
chrX	4918176	4930228		
chrX	4930228	4964039		
chrX	4964039	5027640		
chrX	5027640	5091241		
chrX	5091241	5107106		
chrX	5107106	5157109		
chrX	5157109	5213911		
chrX	5213911	5270713		
chrX	5270713	5313917		
chrX	5313917	5348763		
chrX	5348763	5352304		
chrX	5352304	5368169		
chrX	5368169	5384034		
chrX	5384034	5420297		
chrX	5420297	5438063		
chrX	5438063	5458536		
chrX	5458536	5460271		
chrX	5460271	5468044		
chrX	5468044	5475816		
chrX	5475816	5500314		
chrX	5500314	5524812		
chrX	5524812	5539247		
chrX	5539247	5557013		
chrX	5557013	5581511		
chrX	5581511	5602678		
chrX	5602678	5613781		
chrX	5613781	5634948		
chrX	5634948	5659446		
chrX	5659446	5670550		
chrX	5670550	5678322		
chrX	5678322	5689426		
chrX	5689426	5694140		
chrX	5694140	5697152		
chrX	5697152	5714029		
chrX	5714029	5727129		
chrX	5727129	5738076		
chrX	5738076	5739004		
chrX	5739004	5743160		
chrX	5743160	5754107		
chrX	5754107	5755035		
chrX	5755035	5765982		
chrX	5765982	5765992		
chrX	5765992	5766002		
chrX	5766002	5766012		
chrX	5766012	5832775		
chrX	5832775	5848081		
chrX	5848081	5856690		
chrX	5856690	5878554		
chrX	5878554	5900418		
chrX	5900418	5922283		
chrX	5922283	5930482		
chrX	5930482	5935387		
chrX	5935387	5955320		
chrX	5955320	5997832		
chrX	5997832	6044081		
chrX	6044081	6078262		
chrX	6078262	6097304		
chrX	6097304	6137074		
chrX	6137074	6181605		
chrX	6181605	6192713		
chrX	6192713	6198961		
chrX	6198961	6247360		
chrX	6247360	6249839		
chrX	6249839	6265708		
chrX	6265708	6281576		
chrX	6281576	6291432		
chrX	6291432	6298332		
chrX	6298332	6305231		
chrX	6305231	6315088		
chrX	6315088	6330858		
chrX	6330858	6351932		
chrX	6351932	6361152		
chrX	6361152	6374323		
chrX	6374323	6391445		
chrX	6391445	6400665		
chrX	6400665	6441660		
chrX	6441660	6482655		
chrX	6482655	6499778		
chrX	6499778	6516900		
chrX	6516900	6537974		
chrX	6537974	6559048		
chrX	6559048	6576170		
chrX	6576170	6585390		
chrX	6585390	6614449		
chrX	6614449	6647459		
chrX	6647459	6660630		
chrX	6660630	6676740		
chrX	6676740	6683719		
chrX	6683719	6692792		
chrX	6692792	6703959		
chrX	6703959	6708845		
chrX	6708845	6726337		
chrX	6726337	6745922		
chrX	6745922	6750808		
chrX	6750808	6766206		
chrX	6766206	6779510		
chrX	6779510	6788583		
chrX	6788583	6804156		
chrX	6804156	6825193		
chrX	6825193	6843188		
chrX	6843188	6844500		
chrX	6844500	6850376		
chrX	6850376	6861288		
chrX	6861288	6863445		
chrX	6863445	6868102		
chrX	6868102	6935337		
chrX	6935337	6959296		
chrX	6959296	7033868		
chrX	7033868	7033878		
chrX	7033878	7033888		
chrX	7033888	7033898		
chrX	7033898	7069888		
chrX	7069888	7071415		
chrX	7071415	7078256		
chrX	7078256	7085097		
chrX	7085097	7114904		
chrX	7114904	7116431		
chrX	7116431	7123272		
chrX	7123272	7130113		
chrX	7130113	7136954		
chrX	7136954	7143795		
chrX	7143795	7150636		
chrX	7150636	7172198		
chrX	7172198	7193759		
chrX	7193759	7203532		
chrX	7203532	7239203		
chrX	7239203	7250403		
chrX	7250403	7258713		
chrX	7258713	7270584		
